dates_start,dates_end,mean,err_pos,err_neg,region,metric
-1000.0,-900.0,3.5392156862745097,3.6666666666666665,3.3333333333333335,Anatolia & the Caucasus,Overall
-900.0,-800.0,3.5882352941176476,3.8333333333333335,3.3333333333333335,Anatolia & the Caucasus,Overall
-800.0,-700.0,3.5294117647058827,3.8333333333333335,3.1666666666666665,Anatolia & the Caucasus,Overall
-700.0,-600.0,3.5588235294117654,3.8333333333333335,3.26,Anatolia & the Caucasus,Overall
-600.0,-500.0,3.813725490196079,4.053333333333333,3.4266666666666667,Anatolia & the Caucasus,Overall
-500.0,-400.0,3.872549019607843,4.406666666666666,3.4466666666666663,Anatolia & the Caucasus,Overall
-400.0,-300.0,3.901960784313726,4.3133333333333335,3.6666666666666665,Anatolia & the Caucasus,Overall
-300.0,-200.0,3.990196078431372,4.406666666666666,3.5,Anatolia & the Caucasus,Overall
-200.0,-100.0,3.8823529411764706,4.406666666666666,3.1666666666666665,Anatolia & the Caucasus,Overall
0.0,100.0,4.2254901960784315,4.72,3.8333333333333335,Anatolia & the Caucasus,Overall
100.0,200.0,4.058823529411764,4.72,3.6666666666666665,Anatolia & the Caucasus,Overall
200.0,300.0,3.852941176470587,4.0,3.6666666666666665,Anatolia & the Caucasus,Overall
300.0,400.0,3.8333333333333335,4.22,3.5,Anatolia & the Caucasus,Overall
400.0,500.0,3.5588235294117645,3.8333333333333335,3.1666666666666665,Anatolia & the Caucasus,Overall
500.0,600.0,3.6176470588235294,3.8333333333333335,3.26,Anatolia & the Caucasus,Overall
600.0,700.0,3.6470588235294112,3.8333333333333335,3.26,Anatolia & the Caucasus,Overall
700.0,800.0,3.6960784313725488,3.8333333333333335,3.26,Anatolia & the Caucasus,Overall
800.0,900.0,3.745098039215686,3.9066666666666663,3.3533333333333335,Anatolia & the Caucasus,Overall
900.0,1000.0,3.6960784313725488,3.9066666666666663,3.5,Anatolia & the Caucasus,Overall
1000.0,1100.0,3.784313725490196,3.9066666666666663,3.5933333333333333,Anatolia & the Caucasus,Overall
1100.0,1200.0,3.627450980392157,3.8333333333333335,3.28,Anatolia & the Caucasus,Overall
1200.0,1300.0,3.3725490196078423,3.8333333333333335,2.76,Anatolia & the Caucasus,Overall
1300.0,1400.0,3.480392156862745,3.8333333333333335,2.8533333333333335,Anatolia & the Caucasus,Overall
1400.0,1500.0,4.205882352941177,4.666666666666667,3.8333333333333335,Anatolia & the Caucasus,Overall
1500.0,1600.0,4.6568627450980395,5.3133333333333335,3.9266666666666663,Anatolia & the Caucasus,Overall
1600.0,1700.0,4.911764705882353,6.0,3.8333333333333335,Anatolia & the Caucasus,Overall
1700.0,1800.0,4.1568627450980395,5.0,3.5,Anatolia & the Caucasus,Overall
